awayTeam,awayScore,homeTeam,homeScore,homeWin
TBL,1,NYR,3,True
VGK,4,LAK,3,False
BOS,5,WSH,2,False
CBJ,1,CAR,4,True
TOR,3,MTL,4,True
CHI,2,COL,5,True
SEA,4,ANA,5,True
VAN,3,EDM,5,True
ARI,2,PIT,6,True
NJD,2,PHI,5,True
OTT,1,BUF,4,True
FLA,3,NYI,1,False
WSH,2,TOR,3,True
NYR,7,MIN,3,False
DAL,4,NSH,1,False
COL,3,CGY,5,True
CHI,0,VGK,1,True
SEA,4,LAK,1,False
TBL,5,CBJ,2,False
MTL,0,DET,3,True
NYR,1,WPG,4,True
CAR,2,SJS,1,False
FLA,4,BUF,3,False
VAN,2,PHI,3,True
ARI,3,BOS,6,True
DET,5,NJD,2,False
MTL,1,WSH,3,True
OTT,2,TOR,3,True
TBL,2,PIT,6,True
ANA,1,NYI,7,True
CBJ,2,STL,5,True
LAK,7,MIN,6,False
NSH,1,DAL,5,True
CGY,4,EDM,3,False
VGK,5,SEA,2,False
CHI,5,SJS,2,False
ANA,4,NYR,6,True
ARI,4,TOR,2,False
FLA,3,BOS,5,True
PIT,2,MTL,3,True
VAN,4,WSH,6,True
LAK,5,DET,4,False
COL,6,MIN,3,False
WPG,1,DAL,4,True
CAR,5,SEA,1,False
ANA,2,NJD,4,True
BOS,5,OTT,7,True
VAN,3,CBJ,4,True
PHI,3,TBL,2,False
SJS,2,NYI,5,True
BUF,4,EDM,2,False
VGK,2,CGY,3,True
LAK,4,NSH,3,False
PHI,3,FLA,4,True
WPG,4,COL,3,False
STL,4,SEA,3,False
ANA,1,BOS,2,True
ARI,2,MTL,6,True
DAL,2,TOR,3,True
LAK,1,PIT,6,True
NSH,3,CBJ,5,True
SJS,3,NYR,2,False
WSH,2,OTT,5,True
NJD,4,NYI,1,False
VAN,3,MIN,4,True
CAR,4,EDM,6,True
BUF,6,CGY,3,False
WPG,2,VGK,5,True
TBL,3,FLA,2,False
DET,3,CHI,4,True
SEA,3,COL,2,False
MIN,3,BOS,4,True
SJS,1,NJD,2,True
ARI,2,OTT,6,True
STL,2,EDM,0,False
DAL,5,MTL,2,False
LAK,3,WSH,4,True
NYI,3,TBL,5,True
PIT,6,CBJ,3,False
TOR,4,WPG,1,False
PHI,3,NSH,1,False
BUF,5,VAN,1,False
CAR,2,CGY,3,True
COL,3,VGK,2,False
SEA,4,CHI,5,True
ANA,1,DET,5,True
CBJ,5,NYR,1,False
NYI,2,FLA,3,True
SJS,3,PHI,0,False
DAL,2,OTT,4,True
WSH,6,NJD,3,False
PIT,3,EDM,6,True
STL,0,WPG,4,True
TOR,1,VGK,3,True
CAR,3,VAN,2,False
ARI,6,CBJ,3,False
DAL,1,BOS,3,True
MIN,3,MTL,1,False
NJD,6,DET,2,False
COL,3,NYR,2,False
FLA,2,CHI,4,True
PIT,1,CGY,4,True
BUF,1,SEA,5,True
TBL,2,LAK,4,True
VGK,4,SJS,2,False
NYR,0,NYI,3,True
EDM,3,STL,1,False
TBL,4,ANA,2,False
DET,1,BOS,5,True
FLA,3,PHI,4,True
MIN,4,OTT,2,False
MTL,3,BUF,2,False
STL,2,NSH,6,True
EDM,6,CHI,5,False
WSH,0,DAL,2,True
VAN,5,SEA,4,False
TOR,3,SJS,4,True
WPG,6,LAK,4,False
ANA,0,VGK,4,True
BOS,4,CBJ,0,False
COL,0,NJD,1,True
NYI,6,CAR,2,False
PIT,1,VAN,5,True
WPG,3,ARI,2,False
NYR,6,DAL,3,False
OTT,3,FLA,5,True
TBL,4,SJS,3,False
CAR,4,PHI,3,False
CHI,3,BUF,4,True
MIN,1,DET,2,True
MTL,7,STL,4,False
TOR,2,LAK,4,True
COL,4,NYI,5,True
WSH,3,NSH,0,False
EDM,3,CGY,2,False
PIT,1,SEA,3,True
CBJ,1,NJD,7,True
MIN,4,CHI,3,False
NYR,3,ARI,2,False
TOR,3,ANA,4,True
WPG,1,VGK,2,True
DET,3,BUF,8,True
WSH,2,CAR,3,True
LAK,5,STL,1,False
OTT,3,TBL,4,True
PHI,0,NYR,1,True
VGK,3,WSH,2,False
BOS,6,PIT,5,False
MTL,1,MIN,4,True
NYI,3,CHI,1,False
LAK,2,DAL,5,True
NSH,4,EDM,7,True
SEA,5,CGY,4,False
FLA,1,ARI,3,True
NJD,5,VAN,2,False
ANA,6,SJS,5,False
PHI,2,TOR,5,True
PIT,3,BUF,6,True
CAR,4,TBL,3,False
VGK,5,OTT,4,False
WSH,1,DET,3,True
BOS,5,NYR,2,False
MTL,2,WPG,3,True
NYI,5,STL,2,False
SEA,4,MIN,0,False
LAK,1,CHI,2,True
NSH,4,CGY,1,False
NJD,4,EDM,3,False
ANA,5,VAN,8,True
DAL,7,ARI,2,False
FLA,4,SJS,3,False
CBJ,3,COL,6,True
BUF,3,CAR,5,True
NYI,0,DET,3,True
COL,5,CBJ,1,False
CHI,0,WPG,4,True
DAL,6,EDM,2,False
ARI,3,WSH,2,False
BOS,1,TOR,2,True
BUF,3,TBL,5,True
PHI,2,OTT,1,False
SEA,3,PIT,2,False
VGK,6,MTL,4,False
NSH,4,VAN,3,False
NJD,4,CGY,3,False
ANA,5,SJS,4,False
FLA,4,LAK,5,True
DET,3,NYR,2,False
TOR,3,CAR,1,False
FLA,5,ANA,3,False
CGY,3,NYI,4,True
STL,1,BOS,3,True
EDM,4,WSH,5,True
ARI,4,BUF,1,False
CGY,2,NJD,3,True
NYI,4,NYR,3,False
STL,1,PHI,5,True
VAN,6,OTT,4,False
VGK,4,TOR,3,False
MTL,3,DET,2,False
EDM,3,TBL,2,False
DAL,1,WPG,5,True
NSH,1,SEA,5,True
MIN,0,LAK,1,True
CAR,0,FLA,3,True
