awayTeam,awayScore,homeTeam,homeScore,homeWin
NSH,3,TBL,5,True
CHI,4,PIT,2,False
SEA,1,VGK,4,True
OTT,3,CAR,5,True
MTL,5,TOR,6,True
CHI,1,BOS,3,True
WPG,3,CGY,5,True
COL,5,LAK,2,False
EDM,1,VAN,8,True
NYR,5,BUF,1,False
PHI,4,CBJ,2,False
DET,3,NJD,4,True
STL,1,DAL,2,True
FLA,0,MIN,2,True
SEA,0,NSH,3,True
VGK,4,SJS,1,False
ARI,4,NJD,3,False
PIT,4,WSH,0,False
PHI,2,OTT,5,True
FLA,4,WPG,6,True
NSH,2,BOS,3,True
NYR,3,CBJ,5,True
TBL,4,DET,6,True
CHI,2,MTL,3,True
CGY,2,PIT,5,True
MIN,4,TOR,7,True
BUF,2,NYI,3,True
SEA,1,STL,2,True
VAN,4,EDM,3,False
COL,2,SJS,1,False
ANA,1,VGK,4,True
CAR,6,LAK,5,False
TBL,2,OTT,5,True
CAR,3,ANA,6,True
DET,4,CBJ,0,False
FLA,4,NJD,3,False
ARI,1,NYR,2,True
CHI,4,TOR,1,False
CGY,2,WSH,3,True
VAN,0,PHI,2,True
MIN,5,MTL,2,False
TBL,2,BUF,3,True
ARI,0,NYI,1,True
EDM,6,NSH,1,False
LAK,5,WPG,1,False
COL,4,SEA,1,False
CAR,6,SJS,3,False
DAL,2,VGK,3,True
WSH,1,OTT,6,True
PIT,3,DET,6,True
CGY,4,BUF,3,False
TOR,1,FLA,3,True
NSH,4,NYR,1,False
VAN,3,TBL,4,True
EDM,1,PHI,4,True
LAK,7,MIN,3,False
ARI,6,STL,2,False
VGK,5,WPG,3,False
DAL,3,ANA,2,False
CAR,4,SEA,7,True
CHI,0,COL,4,True
BOS,3,SJS,1,False
CGY,1,CBJ,3,True
NJD,5,NYI,4,False
DET,5,OTT,2,False
ANA,1,ARI,2,True
NYI,1,BUF,3,True
VAN,5,FLA,3,False
WSH,2,MTL,3,True
TOR,4,TBL,3,False
VGK,5,CHI,3,False
PHI,4,DAL,5,True
CBJ,5,MIN,4,False
SJS,1,NSH,5,True
PIT,2,STL,4,True
CAR,4,COL,6,True
WPG,3,EDM,2,False
NYR,4,SEA,1,False
BOS,4,LAK,2,False
CGY,2,DET,6,True
BOS,3,ANA,1,False
MTL,3,BUF,1,False
TOR,4,WSH,1,False
BUF,6,OTT,4,False
CAR,0,TBL,3,True
NJD,5,MTL,2,False
DAL,4,PIT,1,False
SJS,1,FLA,3,True
COL,7,NYI,4,False
SEA,5,DET,4,False
ANA,3,CBJ,2,False
BOS,3,CHI,0,False
STL,2,WPG,4,True
EDM,4,MIN,7,True
VAN,3,NSH,2,False
NYR,3,CGY,1,False
ARI,3,LAK,6,True
PHI,2,VGK,3,True
WSH,6,NJD,4,False
ANA,4,BOS,3,False
SEA,2,CAR,3,True
WPG,4,DET,1,False
CBJ,3,MTL,4,True
COL,0,PIT,4,True
SJS,0,TBL,6,True
MIN,2,PHI,6,True
OTT,2,NYI,3,True
TOR,4,DAL,1,False
STL,3,CGY,0,False
NYR,3,EDM,0,False
CHI,4,VGK,3,False
SJS,0,CAR,3,True
BUF,4,NJD,5,True
MIN,2,WSH,3,True
LAK,5,ARI,4,False
STL,0,VAN,5,True
ANA,7,PHI,4,False
SEA,2,FLA,3,True
DET,1,BOS,4,True
NYI,2,CBJ,0,False
WPG,3,MTL,4,True
TOR,2,NSH,3,True
OTT,5,PIT,2,False
NYR,4,VAN,3,False
VGK,4,LAK,3,False
COL,0,BUF,4,True
MIN,3,NJD,4,True
SJS,1,WSH,3,True
CGY,2,EDM,5,True
FLA,2,BOS,3,True
